file,symbol,profile,decision_time,strategy,direction,actionability_state,replay_reason_code,execution_authorized,replay_class,candidate_count,confirmation_source,entry_confirmation_complete,higher_timeframe_conflict,continuation_state
REUSDT_standard_5m_24_20260722T180000Z.json,REUSDT,standard,2026-07-22T09:59:59.999000+00:00,breakout_continuation,short,retest_preferred,canonical_opportunity_pending_activation,False,conditional,1,setup_with_candidate_fallback,,False,unavailable
REUSDT_standard_5m_24_20260722T180000Z.json,REUSDT,standard,2026-07-22T11:59:59.999000+00:00,,,,canonical_no_executable_opportunity,False,none,0,,,,
REUSDT_standard_5m_24_20260722T180000Z.json,REUSDT,standard,2026-07-22T13:59:59.999000+00:00,breakout_retest,long,retest_preferred,canonical_opportunity_pending_activation,False,conditional,4,setup_with_candidate_fallback,,True,unavailable
REUSDT_standard_5m_24_20260722T180000Z.json,REUSDT,standard,2026-07-22T15:59:59.999000+00:00,,,,canonical_opportunity_missed_or_chasing,False,none,1,best_available_candidate,,False,unavailable
SOLUSDT_environment_15m_20_20260722T180000Z.json,SOLUSDT,environment,2026-07-22T02:59:59.999000+00:00,,,,canonical_no_executable_opportunity,False,none,2,best_available_candidate,,,
SOLUSDT_environment_15m_20_20260722T180000Z.json,SOLUSDT,environment,2026-07-22T07:59:59.999000+00:00,,,,canonical_no_executable_opportunity,False,none,2,best_available_candidate,,,
SOLUSDT_environment_15m_20_20260722T180000Z.json,SOLUSDT,environment,2026-07-22T12:59:59.999000+00:00,,,,canonical_no_executable_opportunity,False,none,3,best_available_candidate,,,
SOLUSDT_micro_1m_20_20260722T180000Z.json,SOLUSDT,micro,2026-07-22T16:59:59.999000+00:00,,,,canonical_no_executable_opportunity,False,none,2,best_available_candidate,,,
SOLUSDT_micro_1m_20_20260722T180000Z.json,SOLUSDT,micro,2026-07-22T17:19:59.999000+00:00,,,,canonical_no_executable_opportunity,False,none,4,best_available_candidate,,,
SOLUSDT_micro_1m_20_20260722T180000Z.json,SOLUSDT,micro,2026-07-22T17:39:59.999000+00:00,,,,canonical_no_executable_opportunity,False,none,4,best_available_candidate,,,
SOLUSDT_standard_5m_24_20260722T180000Z.json,SOLUSDT,standard,2026-07-22T07:59:59.999000+00:00,,,,canonical_no_executable_opportunity,False,none,2,best_available_candidate,,,
SOLUSDT_standard_5m_24_20260722T180000Z.json,SOLUSDT,standard,2026-07-22T09:59:59.999000+00:00,,,,canonical_no_executable_opportunity,False,none,1,best_available_candidate,,,
SOLUSDT_standard_5m_24_20260722T180000Z.json,SOLUSDT,standard,2026-07-22T11:59:59.999000+00:00,,,,canonical_no_executable_opportunity,False,none,2,best_available_candidate,,,
SOLUSDT_standard_5m_24_20260722T180000Z.json,SOLUSDT,standard,2026-07-22T13:59:59.999000+00:00,,,,canonical_no_executable_opportunity,False,none,3,best_available_candidate,,,
SOLUSDT_standard_5m_24_20260722T180000Z.json,SOLUSDT,standard,2026-07-22T15:59:59.999000+00:00,,,,canonical_no_executable_opportunity,False,none,2,best_available_candidate,,,
SUIUSDT_environment_15m_20_20260722T180000Z.json,SUIUSDT,environment,2026-07-22T02:59:59.999000+00:00,,,,canonical_no_executable_opportunity,False,none,4,best_available_candidate,,,
SUIUSDT_environment_15m_20_20260722T180000Z.json,SUIUSDT,environment,2026-07-22T07:59:59.999000+00:00,,,,canonical_no_executable_opportunity,False,none,0,,,,
SUIUSDT_environment_15m_20_20260722T180000Z.json,SUIUSDT,environment,2026-07-22T12:59:59.999000+00:00,,,,canonical_no_executable_opportunity,False,none,1,best_available_candidate,,,
SUIUSDT_micro_1m_20_20260722T180000Z.json,SUIUSDT,micro,2026-07-22T16:59:59.999000+00:00,,,,canonical_no_executable_opportunity,False,none,2,best_available_candidate,,,
SUIUSDT_micro_1m_20_20260722T180000Z.json,SUIUSDT,micro,2026-07-22T17:19:59.999000+00:00,,,,canonical_no_executable_opportunity,False,none,4,best_available_candidate,,,
SUIUSDT_micro_1m_20_20260722T180000Z.json,SUIUSDT,micro,2026-07-22T17:39:59.999000+00:00,,,,canonical_no_executable_opportunity,False,none,2,best_available_candidate,,,
SUIUSDT_standard_5m_24_20260722T180000Z.json,SUIUSDT,standard,2026-07-22T07:59:59.999000+00:00,,,,canonical_no_executable_opportunity,False,none,0,,,,
SUIUSDT_standard_5m_24_20260722T180000Z.json,SUIUSDT,standard,2026-07-22T09:59:59.999000+00:00,,,,canonical_no_executable_opportunity,False,none,4,best_available_candidate,,,
SUIUSDT_standard_5m_24_20260722T180000Z.json,SUIUSDT,standard,2026-07-22T11:59:59.999000+00:00,,,,canonical_no_executable_opportunity,False,none,3,best_available_candidate,,,
SUIUSDT_standard_5m_24_20260722T180000Z.json,SUIUSDT,standard,2026-07-22T13:59:59.999000+00:00,,,,canonical_no_executable_opportunity,False,none,2,best_available_candidate,,,
SUIUSDT_standard_5m_24_20260722T180000Z.json,SUIUSDT,standard,2026-07-22T15:59:59.999000+00:00,,,,canonical_no_executable_opportunity,False,none,4,best_available_candidate,,,
TACUSDT_environment_15m_20_20260722T180000Z.json,TACUSDT,environment,2026-07-22T02:59:59.999000+00:00,,,,canonical_no_executable_opportunity,False,none,2,best_available_candidate,,,
TACUSDT_environment_15m_20_20260722T180000Z.json,TACUSDT,environment,2026-07-22T07:59:59.999000+00:00,,,,canonical_no_executable_opportunity,False,none,0,,,,
TACUSDT_environment_15m_20_20260722T180000Z.json,TACUSDT,environment,2026-07-22T12:59:59.999000+00:00,momentum_breakout,long,aggressive_now,canonical_opportunity_pending_activation,False,conditional,5,setup_with_candidate_fallback,False,True,mature_continuation
TACUSDT_micro_1m_20_20260722T180000Z.json,TACUSDT,micro,2026-07-22T16:59:59.999000+00:00,,,,canonical_no_executable_opportunity,False,none,4,best_available_candidate,,,
TACUSDT_micro_1m_20_20260722T180000Z.json,TACUSDT,micro,2026-07-22T17:19:59.999000+00:00,,,,canonical_no_executable_opportunity,False,none,4,best_available_candidate,,,
TACUSDT_micro_1m_20_20260722T180000Z.json,TACUSDT,micro,2026-07-22T17:39:59.999000+00:00,,,,canonical_no_executable_opportunity,False,none,4,best_available_candidate,,,
TACUSDT_standard_5m_24_20260722T180000Z.json,TACUSDT,standard,2026-07-22T07:59:59.999000+00:00,,,,canonical_no_executable_opportunity,False,none,0,,,,
TACUSDT_standard_5m_24_20260722T180000Z.json,TACUSDT,standard,2026-07-22T09:59:59.999000+00:00,,,,canonical_no_executable_opportunity,False,none,4,best_available_candidate,,,
TACUSDT_standard_5m_24_20260722T180000Z.json,TACUSDT,standard,2026-07-22T11:59:59.999000+00:00,,,,canonical_no_executable_opportunity,False,none,0,,,,
TACUSDT_standard_5m_24_20260722T180000Z.json,TACUSDT,standard,2026-07-22T13:59:59.999000+00:00,breakout_continuation,short,retest_preferred,canonical_opportunity_pending_activation,False,conditional,1,setup_with_candidate_fallback,False,True,unavailable
TACUSDT_standard_5m_24_20260722T180000Z.json,TACUSDT,standard,2026-07-22T15:59:59.999000+00:00,,,,canonical_no_executable_opportunity,False,none,0,,,,
VANRYUSDT_environment_15m_20_20260722T180000Z.json,VANRYUSDT,environment,2026-07-22T02:59:59.999000+00:00,,,,canonical_no_executable_opportunity,False,none,2,best_available_candidate,,,
VANRYUSDT_environment_15m_20_20260722T180000Z.json,VANRYUSDT,environment,2026-07-22T07:59:59.999000+00:00,,,,canonical_no_executable_opportunity,False,none,0,,,,
VANRYUSDT_environment_15m_20_20260722T180000Z.json,VANRYUSDT,environment,2026-07-22T12:59:59.999000+00:00,,,,canonical_no_executable_opportunity,False,none,0,,,,
VANRYUSDT_micro_1m_20_20260722T180000Z.json,VANRYUSDT,micro,2026-07-22T16:59:59.999000+00:00,,,,canonical_no_executable_opportunity,False,none,0,,,,
VANRYUSDT_micro_1m_20_20260722T180000Z.json,VANRYUSDT,micro,2026-07-22T17:19:59.999000+00:00,,,,canonical_no_executable_opportunity,False,none,2,best_available_candidate,,,
VANRYUSDT_micro_1m_20_20260722T180000Z.json,VANRYUSDT,micro,2026-07-22T17:39:59.999000+00:00,,,,canonical_no_executable_opportunity,False,none,4,best_available_candidate,,,
VANRYUSDT_standard_5m_24_20260722T180000Z.json,VANRYUSDT,standard,2026-07-22T07:59:59.999000+00:00,,,,canonical_no_executable_opportunity,False,none,0,,,,
VANRYUSDT_standard_5m_24_20260722T180000Z.json,VANRYUSDT,standard,2026-07-22T09:59:59.999000+00:00,,,,canonical_no_executable_opportunity,False,none,4,best_available_candidate,,,
VANRYUSDT_standard_5m_24_20260722T180000Z.json,VANRYUSDT,standard,2026-07-22T11:59:59.999000+00:00,,,,canonical_no_executable_opportunity,False,none,0,,,,
VANRYUSDT_standard_5m_24_20260722T180000Z.json,VANRYUSDT,standard,2026-07-22T13:59:59.999000+00:00,,,,canonical_no_executable_opportunity,False,none,0,,,,
VANRYUSDT_standard_5m_24_20260722T180000Z.json,VANRYUSDT,standard,2026-07-22T15:59:59.999000+00:00,,,,canonical_no_executable_opportunity,False,none,0,,,,
