file,symbol,profile,decision_time,candidate_id,outcome,strategy,strategy_family,strategy_subtype,direction,replay_source,geometry_state,ranking_role,ranking_outcome,entry_status,entry_mode,higher_timeframe_conflict,higher_timeframe_relationship,higher_timeframe_severity,final_score,final_rank_score,target_quality,gross_tp1_r,net_tp1_r,pre_exit_mfe_r,pre_exit_mae_r,counterfactual_path_mfe_r,counterfactual_path_mae_r,post_exit_additional_mfe_r,realized_r,first_exit_event,first_stop_touch_candle,first_stop_touch_time,first_tp1_touch_candle,first_tp1_touch_time,same_candle_stop_target_ambiguous,reached_0_5r,reached_1r,reached_1_5r,reached_2r,reached_3r,tp1_progress_ratio,reason_codes,forensic_family
AKEUSDT_standard_5m_24_20260722T180000Z.json,AKEUSDT,standard,2026-07-22T15:59:59.999000+00:00,momentum_breakout:long:0,stop,momentum_breakout,,,long,geometry_rejected,TARGET_BELOW_MINIMUM_NET_R,geometry_rejected,,,,,,,,,,1.0990217053112883,1.0472477918847147,0.18748559356058267,1.652961034865512,0.19760188236909643,2.5532827497130923,0.010116288808513757,-1.0505145804033869,stop,3,2026-07-22T16:14:59.999000+00:00,0,,False,False,False,False,False,False,0.179026964787,,INVALID_GEOMETRY
BANKUSDT_environment_15m_20_20260722T180000Z.json,BANKUSDT,environment,2026-07-22T02:59:59.999000+00:00,breakout_retest:long:0,target,breakout_retest,,,long,geometry_rejected,STOP_TOO_TIGHT,geometry_rejected,,,,,,,,,,0.8336791284574807,0.7491977456343097,4.762811124706754,0.5191382157456055,16.543447290561158,22.167731362057243,11.780636165854403,0.749197812328642,target,0,,1,2026-07-22T03:14:59.999000+00:00,False,True,True,True,True,True,6.357214970894,,
BANKUSDT_environment_15m_20_20260722T180000Z.json,BANKUSDT,environment,2026-07-22T07:59:59.999000+00:00,breakout_retest:long:0,missed_entry,breakout_retest,,,long,geometry_rejected,TARGET_TOO_DISTANT,geometry_rejected,,,,,,,,,,12.846946739170242,12.771068101133887,0.0,0.0,33.91709895034793,0.0,33.91709895034793,0.0,,,,,,,False,False,False,False,False,0.0,,
BANKUSDT_environment_15m_20_20260722T180000Z.json,BANKUSDT,environment,2026-07-22T12:59:59.999000+00:00,breakout_retest:long:0,stop,breakout_retest,,,long,geometry_rejected,GEOMETRY_REJECTED,geometry_rejected,,,,,,,,,,2.086593429792247,1.8597570615741068,12.27846024046228,1.2801436739889263,37.62321555367727,9.604783158786134,25.34475531321499,-1.2249844921602586,same_candle_ambiguous_stop_first,1,2026-07-22T13:14:59.999000+00:00,1,2026-07-22T13:14:59.999000+00:00,True,True,True,True,True,True,6.602185034894,,AMBIGUOUS_SAME_CANDLE
BANKUSDT_micro_1m_20_20260722T180000Z.json,BANKUSDT,micro,2026-07-22T16:59:59.999000+00:00,breakout_retest:long:0,missed_entry,breakout_retest,break_retest,breakout_retest,long,retained_primary,VALID_GEOMETRY,primary,accepted_with_conflict_warning,PULLBACK_PREFERRED,retest,False,with_trend,none,52.45169414345445,47.16165,90.4407,3.235458440247081,3.05029140050766,0.0,0.0,5.100230053591461,0.0,5.100230053591461,0.0,,,,,,,False,False,False,False,False,0.0,STRATEGY_OUTSIDE_ROUTE_PRIORITY|ACCEPTED_WITH_WARNING|WARNING_THRESHOLD_BAND,
BANKUSDT_micro_1m_20_20260722T180000Z.json,BANKUSDT,micro,2026-07-22T17:19:59.999000+00:00,breakout_retest:long:0,missed_entry,breakout_retest,,,long,geometry_rejected,STOP_TOO_TIGHT,geometry_rejected,,,,,,,,,,3.740006748878621,3.5259641360356557,0.0,0.0,16.728700137841294,0.0,16.728700137841294,0.0,,,,,,,False,False,False,False,False,0.0,,
BANKUSDT_micro_1m_20_20260722T180000Z.json,BANKUSDT,micro,2026-07-22T17:39:59.999000+00:00,breakout_continuation:long:0,expired,breakout_continuation,break_continuation,breakout_continuation,long,retained_primary,VALID_GEOMETRY,primary,accepted,PULLBACK_PREFERRED,retest,False,with_trend,none,71.88192561458348,68.452776,97.75,7.33373919090138,7.14765320601534,3.4174656899529614,0.6955901566086182,4.938896586344573,0.6863723352623922,1.5214308963916112,2.4801395014247274,expired,0,,0,,False,True,True,True,True,True,0.478124160679,CANONICAL_ROUTE_ALIGNMENT|ENVIRONMENT_ROUTE_WARNING|SCORE_AND_CONFLICT_REQUIREMENTS_MET,
BANKUSDT_standard_5m_24_20260722T180000Z.json,BANKUSDT,standard,2026-07-22T07:59:59.999000+00:00,breakout_retest:long:0,missed_entry,breakout_retest,,,long,geometry_rejected,TARGET_TOO_DISTANT,geometry_rejected,,,,,,,,,,12.846946739170242,12.771068101133887,0.0,0.0,33.91709895034793,0.0,33.91709895034793,0.0,,,,,,,False,False,False,False,False,0.0,,
BANKUSDT_standard_5m_24_20260722T180000Z.json,BANKUSDT,standard,2026-07-22T09:59:59.999000+00:00,breakout_retest:long:0,stop,breakout_retest,,,long,geometry_rejected,STOP_TOO_TIGHT,geometry_rejected,,,,,,,,,,0.5544880744979447,0.454064016080306,2.2789720827488336,2.880890975598289,4.7155594509477945,4.460012773135706,2.436587368198961,-1.099491445572942,same_candle_ambiguous_stop_first,1,2026-07-22T10:04:59.999000+00:00,1,2026-07-22T10:04:59.999000+00:00,True,True,True,True,True,False,5.019054587109,,AMBIGUOUS_SAME_CANDLE
BANKUSDT_standard_5m_24_20260722T180000Z.json,BANKUSDT,standard,2026-07-22T13:59:59.999000+00:00,breakout_retest:long:0,missed_entry,breakout_retest,,,long,geometry_rejected,STOP_TOO_TIGHT,geometry_rejected,,,,,,,,,,1.8461370142258813,1.6978175209440352,0.0,0.0,10.851339701938453,0.0,10.851339701938453,0.0,,,,,,,False,False,False,False,False,0.0,,
BANKUSDT_standard_5m_24_20260722T180000Z.json,BANKUSDT,standard,2026-07-22T15:59:59.999000+00:00,momentum_breakout:long:0,target,momentum_breakout,break_continuation,momentum_breakout,long,retained_primary,VALID_GEOMETRY,primary,accepted,CONFIRMATION_AT_CMP,market_near,False,with_trend,none,72.78123189499725,66.305069,95.5,1.7528339172928564,1.573784344798157,2.321656005963653,0.1381356524463901,20.32644102255214,0.2653372443608443,18.004785016588485,1.573784485024863,target,0,,1,2026-07-22T16:04:59.999000+00:00,False,True,True,True,True,False,1.475205935068,STRATEGY_OUTSIDE_ROUTE_PRIORITY|SCORE_AND_CONFLICT_REQUIREMENTS_MET,
